dir,file,loop,count,content
bind/lib/bind9,check.c,while,3,while (acls[i] != ((void *)0)) {>>>} while (sources[++source].v4 != ((void *)0));>>>while ((e2 = cfg_list_next(e2)) != ((void *)0)) {
bind/lib/bind9,check.c,for,42,for (element = cfg_list_first(obj);>>>for (element = cfg_list_first(obj);>>>for (element = cfg_list_first(obj);>>>for (element = cfg_list_first(dns64);>>>for (i = 0; acls[i] != ((void *)0); i++) {>>>for (i = 0; acls[i] != ((void *)0); i++) {>>>for (i = 0; i < sizeof(intervals) / sizeof(intervals[0]); i++) {>>>for (element = cfg_list_first(obj);>>>for (element = cfg_list_first(obj);>>>for (element = cfg_list_first(obj);>>>for (element = cfg_list_first(obj);>>>for (i= 0; server_contact[i] != ((void *)0); i++) {>>>for (element = cfg_list_first(obj);>>>for (elt = cfg_list_first(masters);>>>for (element = cfg_list_first(policy);>>>for (element2 = cfg_list_first(typelist);>>>for (i = 0; i < sizeof(options) / sizeof(options[0]); i++) {>>>for (element = cfg_list_first(obj);>>>for (element = cfg_list_first(obj);>>>for (i = 0; algorithms[i].name != ((void *)0); i++) {>>>for (element = cfg_list_first(keys);>>>for (element = cfg_list_first(keylist);>>>for (e1 = cfg_list_first(servers); e1 != ((void *)0); e1 = cfg_list_next(e1)) {>>>for (element = cfg_list_first(zones);>>>for (element = cfg_list_first(keys);>>>for (element2 = cfg_list_first(keylist);>>>for (element = cfg_list_first(keys);>>>for (element2 = cfg_list_first(keylist);>>>for (i = 0; default_channels[i] != ((void *)0); i++) {>>>for (element = cfg_list_first(channels);>>>for (element = cfg_list_first(categories);>>>for (delement = cfg_list_first(channels);>>>for (element = cfg_list_first(control_keylist);>>>for (element = cfg_list_first(controlslist);>>>for (element2 = cfg_list_first(inetcontrols);>>>for (element2 = cfg_list_first(unixcontrols);>>>for (i = 0; i < 3; i++) {>>>for (velement = cfg_list_first(views);>>>for (elt = cfg_list_first(acls);>>>for (elt2 = cfg_list_next(elt);>>>for (elt = cfg_list_first(kals);>>>for (elt2 = cfg_list_next(elt);
bind/lib/bind9,getaddresses.c,for,1,for (i = 0; i < addrsize; i++) {
bind/lib/dns,acache.c,while,6,while ((dbent = ISC_LIST_HEAD(acache->dbbucket[i])) != NULL) {>>>while (n_entries-- > 0) {>>>while (i-- > 0)>>>while ((entry = ISC_LIST_HEAD(dbentry->originlist)) != NULL) {>>>while ((entry = ISC_LIST_HEAD(dbentry->referlist)) != NULL) {>>>while ((erdataset = ISC_LIST_HEAD(fname->list)) != NULL) {
bind/lib/dns,acache.c,for,10,for (entry = ISC_LIST_HEAD(acache->entries);>>>for (i = 0; i < 67; i++) {>>>for (i = 0; i < 1009; i++)>>>for (dbentry = ISC_LIST_HEAD(acache->dbbucket[bucket]);>>>for (rdataset = ISC_LIST_HEAD(entry->foundname->list);>>>for (i = 0; i < 67; i++)>>>for (i = 0; i < 1009; i++) {>>>for (i = 0; i < 1009; i++)>>>for (erdataset = ISC_LIST_HEAD(entry->foundname->list);>>>for (ardataset = ISC_LIST_HEAD(fname->list);
bind/lib/dns,acl.c,for,4,for (i = 0; i < acl->length; i++) {>>>for (i = 0; i < source->length; i++) {>>>for (i = 0; i < dacl->length; i++) {>>>for (i = 0; i < a->length; i++) {
bind/lib/dns,adb.c,while,41,"while (nbuckets[i] != 0 && adb->nentries >= nbuckets[i])>>>while (e != NULL) {>>>while (e != NULL) {>>>while (nbuckets[i] != 0 && adb->nnames >= nbuckets[i])>>>while (name != NULL) {>>>while (name != NULL) {>>>while (result == ISC_R_SUCCESS) {>>>while (name != NULL) {>>>while (entry != NULL) {>>>while (namehook != NULL) {>>>while (find != NULL) {>>>while (event != NULL) {>>>while (li != NULL) {>>>while (adbname != NULL) {>>>while (li != NULL) {>>>while (namehook != NULL) {>>>while (namehook != NULL) {>>>while (name != NULL) {>>>while (entry != NULL) {>>>do { 		(adb)-> entries = isc_mem_get((adb)->mctx, 				     sizeof(*(adb)-> entries) * (adb)->nentries); 		if ((adb)-> entries == NULL) { 			result = ISC_R_NOMEMORY; 			goto fail1; 		}	} while (0);>>>do { 		(adb)-> deadentries = isc_mem_get((adb)->mctx, 				     sizeof(*(adb)-> deadentries) * (adb)->nentries); 		if ((adb)-> deadentries == NULL) { 			result = ISC_R_NOMEMORY; 			goto fail1; 		}	} while (0);>>>do { 		(adb)-> entrylocks = isc_mem_get((adb)->mctx, 				     sizeof(*(adb)-> entrylocks) * (adb)->nentries); 		if ((adb)-> entrylocks == NULL) { 			result = ISC_R_NOMEMORY; 			goto fail1; 		}	} while (0);>>>do { 		(adb)-> entry_sd = isc_mem_get((adb)->mctx, 				     sizeof(*(adb)-> entry_sd) * (adb)->nentries); 		if ((adb)-> entry_sd == NULL) { 			result = ISC_R_NOMEMORY; 			goto fail1; 		}	} while (0);>>>do { 		(adb)-> entry_refcnt = isc_mem_get((adb)->mctx, 				     sizeof(*(adb)-> entry_refcnt) * (adb)->nentries); 		if ((adb)-> entry_refcnt == NULL) { 			result = ISC_R_NOMEMORY; 			goto fail1; 		}	} while (0);>>>do { 		(adb)-> names = isc_mem_get((adb)->mctx, 				     sizeof(*(adb)-> names) * (adb)->nnames); 		if ((adb)-> names == NULL) { 			result = ISC_R_NOMEMORY; 			goto fail1; 		}	} while (0);>>>do { 		(adb)-> deadnames = isc_mem_get((adb)->mctx, 				     sizeof(*(adb)-> deadnames) * (adb)->nnames); 		if ((adb)-> deadnames == NULL) { 			result = ISC_R_NOMEMORY; 			goto fail1; 		}	} while (0);>>>do { 		(adb)-> namelocks = isc_mem_get((adb)->mctx, 				     sizeof(*(adb)-> namelocks) * (adb)->nnames); 		if ((adb)-> namelocks == NULL) { 			result = ISC_R_NOMEMORY; 			goto fail1; 		}	} while (0);>>>do { 		(adb)-> name_sd = isc_mem_get((adb)->mctx, 				     sizeof(*(adb)-> name_sd) * (adb)->nnames); 		if ((adb)-> name_sd == NULL) { 			result = ISC_R_NOMEMORY; 			goto fail1; 		}	} while (0);>>>do { 		(adb)-> name_refcnt = isc_mem_get((adb)->mctx, 				     sizeof(*(adb)-> name_refcnt) * (adb)->nnames); 		if ((adb)-> name_refcnt == NULL) { 			result = ISC_R_NOMEMORY; 			goto fail1; 		}	} while (0);>>>do { 	result = isc_mempool_create(mem, sizeof(dns_adbname_t), &( adb->nmp)); 	if (result != ISC_R_SUCCESS) 		goto fail3; 	isc_mempool_setfreemax(( adb->nmp), 64); 	isc_mempool_setfillcount(( adb->nmp), 16); 	isc_mempool_setname(( adb->nmp),  ""adbname""); 	isc_mempool_associatelock(( adb->nmp), &adb->mplock); } while (0);>>>do { 	result = isc_mempool_create(mem, sizeof(dns_adbnamehook_t), &( adb->nhmp)); 	if (result != ISC_R_SUCCESS) 		goto fail3; 	isc_mempool_setfreemax(( adb->nhmp), 64); 	isc_mempool_setfillcount(( adb->nhmp), 16); 	isc_mempool_setname(( adb->nhmp),  ""adbnamehook""); 	isc_mempool_associatelock(( adb->nhmp), &adb->mplock); } while (0);>>>do { 	result = isc_mempool_create(mem, sizeof(dns_adblameinfo_t), &( adb->limp)); 	if (result != ISC_R_SUCCESS) 		goto fail3; 	isc_mempool_setfreemax(( adb->limp), 64); 	isc_mempool_setfillcount(( adb->limp), 16); 	isc_mempool_setname(( adb->limp),  ""adblameinfo""); 	isc_mempool_associatelock(( adb->limp), &adb->mplock); } while (0);>>>do { 	result = isc_mempool_create(mem, sizeof(dns_adbentry_t), &( adb->emp)); 	if (result != ISC_R_SUCCESS) 		goto fail3; 	isc_mempool_setfreemax(( adb->emp), 64); 	isc_mempool_setfillcount(( adb->emp), 16); 	isc_mempool_setname(( adb->emp),  ""adbentry""); 	isc_mempool_associatelock(( adb->emp), &adb->mplock); } while (0);>>>do { 	result = isc_mempool_create(mem, sizeof(dns_adbfind_t), &( adb->ahmp)); 	if (result != ISC_R_SUCCESS) 		goto fail3; 	isc_mempool_setfreemax(( adb->ahmp), 64); 	isc_mempool_setfillcount(( adb->ahmp), 16); 	isc_mempool_setname(( adb->ahmp),  ""adbfind""); 	isc_mempool_associatelock(( adb->ahmp), &adb->mplock); } while (0);>>>do { 	result = isc_mempool_create(mem, sizeof(dns_adbaddrinfo_t), &( adb->aimp)); 	if (result != ISC_R_SUCCESS) 		goto fail3; 	isc_mempool_setfreemax(( adb->aimp), 64); 	isc_mempool_setfillcount(( adb->aimp), 16); 	isc_mempool_setname(( adb->aimp),  ""adbaddrinfo""); 	isc_mempool_associatelock(( adb->aimp), &adb->mplock); } while (0);>>>do { 	result = isc_mempool_create(mem, sizeof(dns_adbfetch_t), &( adb->afmp)); 	if (result != ISC_R_SUCCESS) 		goto fail3; 	isc_mempool_setfreemax(( adb->afmp), 64); 	isc_mempool_setfillcount(( adb->afmp), 16); 	isc_mempool_setname(( adb->afmp),  ""adbfetch""); 	isc_mempool_associatelock(( adb->afmp), &adb->mplock); } while (0);>>>while (ai != NULL) {>>>while (entry != NULL) {>>>while (ai != NULL) {>>>while (find != NULL) {>>>while (adbname != NULL) {"
bind/lib/dns,adb.c,for,25,for (i = 0; i < adb->nentries; i++)>>>for (i = 0; i < n; i++) {>>>for (i = 0; i < adb->nentries; i++) {>>>for (i = 0; i < adb->nnames; i++)>>>for (i = 0; i < n; i++) {>>>for (i = 0; i < adb->nnames; i++) {>>>for (anh = ISC_LIST_HEAD(*hookhead);>>>for (i = 0; i < 2; i++) {>>>for (bucket = 0; bucket < adb->nnames; bucket++) {>>>for (bucket = 0; bucket < adb->nentries; bucket++) {>>>for (entry = ISC_LIST_HEAD(adb->entries[bucket]);>>>for (i = 0; i < adb->nnames; i++) {>>>for (i = 0; i < adb->nentries; i++) {>>>for (i = 0; i < adb->nnames; i++)>>>for (i = 0; i < adb->nentries; i++)>>>for (i = 0; i < adb->nnames; i++)>>>for (i = 0; i < adb->nentries; i++)>>>for (i = 0; i < adb->nnames; i++) {>>>for (i = 0; i < adb->nentries; i++) {>>>for (i = 0; i < adb->nentries; i++)>>>for (i = 0; i < adb->nnames; i++)>>>for (li = ISC_LIST_HEAD(entry->lameinfo);>>>for (nh = ISC_LIST_HEAD(*list);>>>for (i = 0; i < adb->nnames; i++)>>>for (i = 0; i < adb->nentries; i++)
bind/lib/dns,byaddr.c,for,1,for (i = 15; i >= 0; i--) {
bind/lib/dns,cache.c,while,3,while (n_names-- > 0) {>>>while (result == ISC_R_SUCCESS) {>>>while (result == ISC_R_SUCCESS) {
bind/lib/dns,cache.c,for,5,for (i = 0; i < cache->db_argc; i++)>>>for (i = extra; i < cache->db_argc; i++) {>>>for (i = extra; i < cache->db_argc; i++)>>>for (i = extra; i < cache->db_argc; i++)>>>for (result = dns_rdatasetiter_first(iter);
bind/lib/dns,client.c,while,12,while ((view = ISC_LIST_HEAD(client->viewlist)) != ((void *)0)) {>>>while (tresult == ISC_R_SUCCESS) {>>>while ((rdataset = ISC_LIST_HEAD(ansname->list))>>>} while (want_restart);>>>while ((name = ISC_LIST_HEAD(rctx->namelist)) != ((void *)0)) {>>>while ((name = ISC_LIST_HEAD(rev->answerlist)) != ((void *)0)) {>>>while ((name = ISC_LIST_HEAD(*namelist)) != ((void *)0)) {>>>while ((rdataset = ISC_LIST_HEAD(name->list)) != ((void *)0)) {>>>while (result == ISC_R_SUCCESS) {>>>while (result == ISC_R_SUCCESS) {>>>while ((sa = ISC_LIST_HEAD(uctx->servers)) != ((void *)0)) {>>>while ((sa = ISC_LIST_HEAD(uctx->servers)) != ((void *)0)) {
bind/lib/dns,client.c,for,11,for (name = ISC_LIST_HEAD(rev->answerlist); name != ((void *)0);>>>for (rdataset = ISC_LIST_HEAD(name->list);>>>for (result = dns_rdataset_first(rdataset);>>>for (name = ISC_LIST_HEAD(rev->answerlist); name != ((void *)0);>>>for (rdataset = ISC_LIST_HEAD(name->list);>>>for (rdataset = ISC_LIST_HEAD(name->list); rdataset != ((void *)0);>>>for (server = ISC_LIST_HEAD(*servers);>>>for (name = ISC_LIST_HEAD(*prerequisites); name != ((void *)0);>>>for (name = ISC_LIST_HEAD(*updates); name != ((void *)0);>>>for (rdataset = ISC_LIST_HEAD(name->list);>>>for (rdata = ISC_LIST_HEAD(rdatalist->rdata);
bind/lib/dns,compress.c,while,4,while (cctx->table[i] != NULL) {>>>do { 	( &nname)->length = (node)->r.length; 	( &nname)->labels = (node)->labels; 	( &nname)->ndata = (node)->r.base; 	( &nname)->attributes = DNS_NAMEATTR_ABSOLUTE; } while (0);>>>while (count > 0) {>>>while (node != NULL && node->offset >= offset) {
bind/lib/dns,compress.c,for,5,for (i = 0; i < DNS_COMPRESS_TABLESIZE; i++)>>>for (i = 0; i < DNS_COMPRESS_TABLESIZE; i++) {>>>for (n = 0; n < labels - 1; n++) {>>>for (node = cctx->table[hash]; node != NULL; node = node->next)>>>for (i = 0; i < DNS_COMPRESS_TABLESIZE; i++) {
bind/lib/dns,db.c,for,1,for (imp = ISC_LIST_HEAD(implementations);
bind/lib/dns,diff.c,while,14,"while ((t = ISC_LIST_HEAD(diff->tuples)) != ((void *)0)) {>>>while (result == ISC_R_SUCCESS) {>>>while (t != ((void *)0)) {>>>while (t != ((void *)0) && dns_name_equal(&t->name, name)) {>>>do { result = (dns_db_findnode(db, name, ISC_TRUE, 						      &node));							if (result != ISC_R_SUCCESS) goto failure;		} while (0);>>>do { result = (dns_db_findnsec3node(db, name, ISC_TRUE, 							   &node));							if (result != ISC_R_SUCCESS) goto failure;		} while (0);>>>while (t != ((void *)0) &&>>>do { result = (dns_rdatalist_tordataset(&rdl, &rds));							if (result != ISC_R_SUCCESS) goto failure;		} while (0);>>>do { result = (result);							if (result != ISC_R_SUCCESS) goto failure;		} while (0);>>>while (t != ((void *)0)) {>>>while (t != ((void *)0) && dns_name_equal(&t->name, name)) {>>>while (t != ((void *)0) && dns_name_equal(&t->name, name) &&>>>do { result = (dns_rdatalist_tordataset(&rdl, &rds));							if (result != ISC_R_SUCCESS) goto failure;		} while (0);>>>do { result = (result);							if (result != ISC_R_SUCCESS) goto failure;		} while (0);"
bind/lib/dns,diff.c,for,5,for (ot = ISC_LIST_HEAD(diff->tuples); ot != ((void *)0);>>>for (p = ISC_LIST_HEAD(diff->tuples);>>>for (i = 0; i < length; i++) {>>>for (i = 0; i < length; i++) {>>>for (t = ISC_LIST_HEAD(diff->tuples); t != ((void *)0);
bind/lib/dns,dispatch.c,while,10,while (bucket < qid->qid_nbuckets) {>>>while (bucket < qid->qid_nbuckets) {>>>while ((dispsocket = ISC_LIST_HEAD(disp->inactivesockets)) != ((void *)0)) {>>>while (portentry != ((void *)0)) {>>>while (dispsock != ((void *)0)) {>>>while (res != ((void *)0)) {>>>} while (p++ < 65535);>>>while (disp != ((void *)0)) {>>>while (--i >= 0) {>>>while (ev != ((void *)0)) {
bind/lib/dns,dispatch.c,for,15,for (;;) {>>>for (i = 0; i < disp->ntasks; i++)>>>for (i = 0; i < 64; i++) {>>>for (i = 0; i < buckets; i++) {>>>for (i = 0; i < 1024; i++)>>>for (i = 0; i < 1024; i++) {>>>for (j = 0; j < 0xffffU; j++) {>>>for (i = 0; i < 20U; i++) {>>>for (i = 0; i < 1024; i++)>>>for (i = 0; i < disp->ntasks; i++) {>>>for (i = 0; i < disp->ntasks; i++)>>>for (dispsock = ISC_LIST_HEAD(disp->activesockets);>>>for (i = 0; i < 64; i++) {>>>for (dispsock = ISC_LIST_HEAD(disp->activesockets);>>>for (resp = linear_first(qid);
bind/lib/dns,dlz.c,while,4,while (*s == ' ' || *s == '\t')>>>while (*p != ' ' && *p != '\t' && *p != '\0' && *p != '{') {>>>while (*t != '\0') {>>>while (*p != '\0' && *p != '}') {
bind/lib/dns,dlz.c,for,2,for (imp = ISC_LIST_HEAD(dlz_implementations);>>>for (i = namelabels; i > minlabels && i > 1; i--) {
bind/lib/dns,dns64.c,for,6,"for (i = 0; i < 4U; i++) {>>>for (;dns64 != NULL; dns64 = ISC_LIST_NEXT(dns64, link)) {>>>for (i = 0; i < aaaaoklen; i++)>>>for (i = 0; i < aaaaoklen; i++)>>>for (result = dns_rdataset_first(rdataset);>>>for (i = 0; i < aaaaoklen; i++)"
