loop,loopinv,exitcond,structs,types,module
"while(loop_invariant){
  update
  if(condition) { update }
}",acls[i] != NULL,acls[i] == NULL,"cfg_obj_t
cfg_aclconfctx_t","unsigned int
int
NULL",bind9
"do {
update
if(condition) {update} else {update}
if(condition) {update}
} while(loop_invariant)",sources[++source].v4 != NULL,sources[++source].v4 == NULL,"cfg_obj_t

","char *buffer
unsigned int
int
NULL",bind9
"while(loop_invariant){
        update
        if(condition){
                if(condition){ update }
                update
        }
}","(e2 = cfg_list_next(e2)) != NULL

","(e2 = cfg_list_next(e2)) == NULL

","cfg_listelt_t
cfg_obj_t","char *buffer
unsigned int
string
NULL",bind9
"do {
  update
} while (loop_invariant);","sigtime != 0

","sigtime != 0

",none,"char *buffer
isc_uint64_t",dns
"do {
  if(!loop_invariant) exit
  update
} while(1)","token.type != isc_tokentype_string

","token.type == isc_tokentype_string

",isc_token_t,"unsigned int
isc_buffer_t
NULL
isc_tokentype_string",dns
"while(loop_invariant){
        update
        if(condition){
                update
        }
}","region.length > 0

","region.length <= 0

",dns_name_t,"int
isc_region_t
unsigned int
isc_boolean_t",dns
"while(loop_invariant){
        update
}","isc_buffer_activelength(source) > 0

","isc_buffer_activelength(source) <= 0

",dns_name_t ,"int
unsigned char *buffer
NULL",dns
"while(loop_invariant){
        update
        if(condition){
                return data
        }
        update
}

","r1.length != 0 && r2.length != 0

","r1.length == 0 || r2.length == 0

",dns_name_t,"isc_region_t
int",dns
"while(loop_invariant){
        update
        if(condition) { update }
}","*e != 0

","*e == 0

",none,"char *buffer

",dns
"while(loop_invariant){
        update
        if(condition) return
        if(condition) {update; continue;}
        else if(condition) { update; continue; }
        else return data

        if(condition){
                switch(char){
                        case _: update
                        default: update
                }
        }

        if(condition){ update }
}","len-- > 0

","len-- <= 0

",none,"isc_boolean_t
unsigned char
char *buffer",dns
"do {
  update
  if(!loop_invariant) exit
  update
} while(1)","token.type != isc_tokentype_string

","token.type == isc_tokentype_string

","dns_rdatatype_t
isc_token_t","unsigned char*
isc_boolean_t
unsigned int
isc_lex_t
isc_tokentype_string",dns
